stock,listing_date,cutoff_date,buy_price,stop_loss,target_1,target_2,target_3,time_frame,current_price,highest_price,lowest_price,target_1_hit,target_2_hit,target_3_hit,stop_loss_hit,first_hit_date,first_hit_price,outcome,data_points
BANKBARODA,2025-02-07,2025-02-17,243.0,236.0,253.0,261.0,,5-10 Days,216.32000732421875,216.32000732421875,205.16000366210938,False,False,False,True,2025-02-07,216.32000732421875,STOP_LOSS_HIT,6
ASIANPAINT,2025-02-07,2025-02-17,2355.0,2275.0,2460.0,2550.0,,5-10 Days,2271.0,2271.0,2228.25,False,False,False,True,2025-02-07,2271.0,STOP_LOSS_HIT,6
GNFC,2025-02-07,2025-02-17,563.5,534.0,598.0,608.0,,5-10 Days,551.7999877929688,576.6500244140625,551.7999877929688,False,False,False,False,,,LOSS,6
DLF,2025-02-07,2025-03-09,828.0,779.0,885.0,940.0,,5-30 Days,757.4500122070312,757.4500122070312,635.5499877929688,False,False,False,True,2025-02-07,757.4500122070312,STOP_LOSS_HIT,20
GESHIP,2025-03-07,2025-04-06,1017.0,957.0,1078.0,1100.0,,30 Days,906.5,952.9500122070312,892.7000122070312,False,False,False,True,2025-03-07,906.5,STOP_LOSS_HIT,19
VGUARD,2025-03-07,2025-03-17,389.0,373.0,407.0,415.0,,5-10 Days,330.8500061035156,335.04998779296875,330.6499938964844,False,False,False,True,2025-03-07,330.8500061035156,STOP_LOSS_HIT,5
DRREDDY,2025-03-07,2025-03-17,1275.0,1239.0,1323.0,1365.0,,5-10 Days,1133.25,1133.25,1105.1500244140625,False,False,False,True,2025-03-07,1133.25,STOP_LOSS_HIT,5
SUNDRMFAST,2025-03-07,2025-03-17,1061.0,1008.0,1115.0,1135.0,,5-10 Days,950.1500244140625,950.1500244140625,920.0499877929688,False,False,False,True,2025-03-07,950.1500244140625,STOP_LOSS_HIT,5
ZEEL,2025-03-07,2025-04-06,140.0,126.95,155.0,169.0,,5-30 Days,103.97000122070312,107.48999786376953,98.33999633789062,False,False,False,True,2025-03-07,103.97000122070312,STOP_LOSS_HIT,19
INDIAMART,2025-03-07,2025-04-06,2585.0,2459.0,2720.0,2785.0,,30 Days,2010.699951171875,2142.050048828125,1934.75,False,False,False,True,2025-03-07,2010.699951171875,STOP_LOSS_HIT,19
KAJARIACER,2025-04-07,2025-05-07,1135.0,999.0,1283.0,1425.0,,5-30 Days,785.0999755859375,822.0499877929688,779.4500122070312,False,False,False,True,2025-04-07,785.0999755859375,STOP_LOSS_HIT,18
DABUR,2025-04-07,2025-04-17,492.0,478.75,511.0,527.0,,5-10 Days,451.3999938964844,481.3500061035156,451.3999938964844,False,False,False,True,2025-04-07,451.3999938964844,STOP_LOSS_HIT,6
MAHSEAMLES,2025-04-07,2025-05-07,746.4,680.0,819.0,850.0,,30 Days,642.4000244140625,705.8499755859375,632.0499877929688,False,False,False,True,2025-04-07,642.4000244140625,STOP_LOSS_HIT,18
BDL,2025-01-07,2025-01-17,1980.0,1894.0,2085.0,2175.0,,5-10 Days,1184.75,1203.25,1116.3499755859375,False,False,False,True,2025-01-07,1184.75,STOP_LOSS_HIT,8
KOTAKBANK,2025-01-07,2025-01-17,2165.0,2099.0,2250.0,2305.0,,5-10 Days,1772.050048828125,1805.550048828125,1738.4000244140625,False,False,False,True,2025-01-07,1772.050048828125,STOP_LOSS_HIT,8
AADHARHFC,2025-01-07,2025-02-06,460.0,441.0,490.0,504.0,,30 Days,424.04998779296875,424.04998779296875,364.1499938964844,False,False,False,True,2025-01-07,424.04998779296875,STOP_LOSS_HIT,23
ICICIBANK,2025-06-24,2025-07-04,1422.0,1384.75,1475.0,1520.0,,5-10 Days,1425.9000244140625,1462.199951171875,1424.0999755859375,False,False,False,False,,,PROFIT,8
ULTRACEMCO,2025-06-25,2025-07-05,11600.0,11195.0,12100.0,12555.0,,5-10 Days,12506.0,12506.0,11733.0,True,False,False,False,2025-06-27,12213.0,TARGET_1_HIT,8
JUBLFOOD,2025-06-25,2025-07-05,711.05,680.0,775.0,,,5-10 Days,710.0499877929688,713.0,701.7999877929688,False,False,False,False,,,LOSS,8
SBIN,2025-06-25,2025-07-05,798.0,779.0,825.0,848.0,,5-10 Days,811.8499755859375,820.3499755859375,797.0499877929688,False,False,False,False,,,PROFIT,8
HCLTECH,2025-06-26,2025-07-06,1700.0,1644.0,1775.0,1840.0,,5-10 Days,1725.9000244140625,1728.5999755859375,1711.9000244140625,False,False,False,False,,,PROFIT,7
POWERGRID,2025-06-27,2025-07-07,294.0,284.75,306.0,317.0,,5-10 Days,294.0,299.8999938964844,293.70001220703125,False,False,False,False,,,BREAKEVEN,6
HEROMOTOCO,2025-06-19,2025-06-29,4355.0,4149.0,4605.0,4775.0,,5-10 Days,4320.2998046875,4384.2998046875,4253.10009765625,False,False,False,False,,,LOSS,7
RELIANCE,2025-06-20,2025-06-30,1447.0,1414.0,1500.0,,,5-10 Days,1515.4000244140625,1515.4000244140625,1450.800048828125,True,False,False,False,2025-06-27,1515.4000244140625,TARGET_1_HIT,6
DLF,2025-06-20,2025-06-30,846.0,819.0,880.0,910.0,,5-10 Days,845.7999877929688,854.3499755859375,845.7999877929688,False,False,False,False,,,LOSS,6
HAL,2025-06-23,2025-07-03,4980.0,4774.0,5235.0,5465.0,,5-10 Days,4898.2998046875,5028.2001953125,4792.7001953125,False,False,False,False,,,LOSS,8
CANBK,2025-06-23,2025-07-03,106.0,100.75,113.0,119.0,,5-10 Days,114.2300033569336,115.41999816894531,107.81999969482422,True,False,False,False,2025-06-30,114.19999694824219,TARGET_1_HIT,8
BDL,2025-06-23,2025-07-03,1944.0,1875.0,2100.0,,,5-10 Days,1851.699951171875,1980.300048828125,1814.9000244140625,False,False,False,True,2025-06-24,1851.699951171875,STOP_LOSS_HIT,8
INDIAMART,2025-06-23,2025-07-03,2527.0,2391.0,2673.0,2700.0,,5-10 Days,2569.5,2660.60009765625,2494.89990234375,False,False,False,False,,,PROFIT,8
MARUTI,2025-06-24,2025-07-04,12690.0,12349.0,13150.0,13555.0,,5-10 Days,12752.0,12767.0,12400.0,False,False,False,False,,,PROFIT,8
MAHABANK,2025-06-24,2025-07-04,54.92,52.3,57.8,59.0,,5-10 Days,57.189998626708984,58.33000183105469,53.84000015258789,True,False,False,False,2025-07-01,58.33000183105469,TARGET_1_HIT,8
HAVELLS,2025-06-24,2025-07-04,1582.0,1498.0,1670.0,1700.0,,5-10 Days,1572.5999755859375,1574.0,1547.9000244140625,False,False,False,False,,,LOSS,8
KOTAKBANK,2025-06-13,2025-06-23,2080.0,2015.0,2165.0,2240.0,,5-10 Days,2169.800048828125,2169.800048828125,2107.39990234375,True,False,False,False,2025-06-20,2169.800048828125,TARGET_1_HIT,6
TATAMOTORS,2025-06-16,2025-06-26,701.0,669.0,740.0,775.0,,5-10 Days,674.5,686.6500244140625,670.25,False,False,False,False,,,LOSS,8
ICICIPRULI,2025-06-16,2025-06-26,639.0,612.0,670.0,690.0,,5-10 Days,634.6500244140625,640.2999877929688,623.3499755859375,False,False,False,False,,,LOSS,8
BHEL,2025-06-18,2025-06-28,252.0,239.0,268.0,282.0,,5-10 Days,264.1000061035156,264.45001220703125,247.1999969482422,False,False,False,False,,,PROFIT,8
SWIGGY,2025-06-18,2025-06-28,364.5,350.0,380.0,400.0,,5-10 Days,406.95001220703125,406.95001220703125,365.3999938964844,True,True,False,False,2025-06-20,389.5,TARGET_2_HIT,8
